bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF854DIW	125	ENCFF946WAV	120	CTCF-human	MCF7	ENCSR000DMR
ENCFF871ONC	120	ENCFF894EOG	70	HNF1A-human	HepG2	ENCSR800QIT
ENCFF370ZNH	135	ENCFF894EOG	70	HNF1A-human	HepG2	ENCSR800QIT
ENCFF681AFR	195	ENCFF617REL	195	CTCF-human	KMS11	ENCSR430YRJ
ENCFF313RGT	280	ENCFF617REL	195	CTCF-human	KMS11	ENCSR430YRJ
ENCFF145VRC	135	ENCFF229FMX	70	FOXA3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR092OVN
ENCFF126DKX	125	ENCFF229FMX	70	FOXA3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR092OVN
ENCFF195KYB	120	ENCFF229FMX	70	IKZF5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR210HBN
ENCFF723QLF	100	ENCFF229FMX	70	IKZF5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR210HBN
ENCFF454MMY	95	ENCFF772PJM	120	CTCFL-human	K562	ENCSR000BNK
ENCFF310MOR	90	ENCFF772PJM	120	CTCFL-human	K562	ENCSR000BNK
ENCFF784XUE	110	ENCFF579QDW	130	ELK1-human	GM12878	ENCSR000DZB
ENCFF211VKF	115	ENCFF579QDW	130	ELK1-human	GM12878	ENCSR000DZB
ENCFF862HYK	110	ENCFF229FMX	70	MIXL1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR966PJY
ENCFF567OGN	100	ENCFF229FMX	70	MIXL1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR966PJY
ENCFF843RIG	120	ENCFF857FLV	125	POU2F2-human	GM12891	ENCSR000BII
ENCFF809CJJ	140	ENCFF857FLV	125	POU2F2-human	GM12891	ENCSR000BII
ENCFF784CCE	105	ENCFF406KPS	110	ESR1-human	T47Dtreatedwith100nMbisphenolAfor30minutes	ENCSR000BQD
ENCFF231RDV	125	ENCFF406KPS	110	ESR1-human	T47Dtreatedwith100nMbisphenolAfor30minutes	ENCSR000BQD
ENCFF208QQC	165	ENCFF355KUJ	155	CTCF-human	HFFMycoriginatedfromforeskinfibroblast	ENCSR000DUM
ENCFF115QJZ	160	ENCFF355KUJ	155	CTCF-human	HFFMycoriginatedfromforeskinfibroblast	ENCSR000DUM
ENCFF417TWE	90	ENCFF229FMX	70	GMEB2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR745VSQ
ENCFF953PIE	160	ENCFF229FMX	70	GMEB2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR745VSQ
ENCFF742TAS	80	ENCFF709XAA	65	TCF7-human	K562	ENCSR863KUB
ENCFF587PVQ	80	ENCFF709XAA	65	TCF7-human	K562	ENCSR863KUB
ENCFF668TQC	195	ENCFF981WUC	475	CTCF-human	upperlobeofleftlungfemaleadult51years	ENCSR799TJD
ENCFF338MSY	150	ENCFF679QYP	70	ZNF740-human	K562geneticallymodifiedusingstabletransfection	ENCSR737UST
ENCFF910XWG	170	ENCFF679QYP	70	ZNF740-human	K562geneticallymodifiedusingstabletransfection	ENCSR737UST
ENCFF377YXP	120	ENCFF710SMS	110	MXI1-human	GM12878	ENCSR000DZI
ENCFF169JOK	115	ENCFF710SMS	110	MXI1-human	GM12878	ENCSR000DZI
ENCFF730ZVL	105	ENCFF219TDW	55	CTCF-human	GM12864	ENCSR000DRB
ENCFF225NQU	120	ENCFF219TDW	55	CTCF-human	GM12864	ENCSR000DRB
ENCFF663MFK	125	ENCFF016HFH	115	CTCF-human	Ishikawatreatedwith002dimethylsulfoxidefor1hour	ENCSR000BQE
ENCFF667IDX	100	ENCFF016HFH	115	CTCF-human	Ishikawatreatedwith002dimethylsulfoxidefor1hour	ENCSR000BQE
ENCFF792IEK	180	ENCFF054XXR	200	CTCF-human	transversecolonmaleadult37years	ENCSR608WPS
ENCFF552ZTI	155	ENCFF054XXR	200	CTCF-human	transversecolonmaleadult37years	ENCSR608WPS
ENCFF089XMI	120	ENCFF332CUX	90	STAT1-human	K562treatedwithinterferonalphafor6hours	ENCSR000FAU
ENCFF263PLG	115	ENCFF332CUX	90	STAT1-human	K562treatedwithinterferonalphafor6hours	ENCSR000FAU
ENCFF815EOF	140	ENCFF070KUR	120	CTCF-human	WI38	ENCSR000DYB
ENCFF113LQX	150	ENCFF070KUR	120	CTCF-human	WI38	ENCSR000DYB
ENCFF486EWS	100	ENCFF710SMS	110	NRF1-human	GM12878	ENCSR000DZO
ENCFF910PTH	80	ENCFF710SMS	110	NRF1-human	GM12878	ENCSR000DZO
ENCFF558FDX	165	ENCFF326UUS	220	CTCF-human	uterusfemaleadult53years	ENCSR684PGO
ENCFF900QPQ	155	ENCFF213VVQ	70	ZMYM3-human	K562	ENCSR102KIN
ENCFF056HVT	170	ENCFF213VVQ	70	ZMYM3-human	K562	ENCSR102KIN
ENCFF582ZOC	80	ENCFF982GQU	70	POU5F1-human	GM23338originatedfromGM23248	ENCSR264RJX
ENCFF720OTS	80	ENCFF982GQU	70	POU5F1-human	GM23338originatedfromGM23248	ENCSR264RJX
ENCFF703HXP	120	ENCFF016HFH	115	ESR1-human	Ishikawatreatedwith002dimethylsulfoxidefor1hour	ENCSR000BIZ
ENCFF820TDD	120	ENCFF016HFH	115	ESR1-human	Ishikawatreatedwith002dimethylsulfoxidefor1hour	ENCSR000BIZ
ENCFF987AWV	145	ENCFF477ZKJ	90	TBP-human	GM12878	ENCSR000DZZ
ENCFF910NHM	140	ENCFF477ZKJ	90	TBP-human	GM12878	ENCSR000DZZ
ENCFF219PMT	145	ENCFF700CVK	65	CTCF-human	foreskinfibroblastmalenewborn	ENCSR000DWQ
ENCFF775ONC	135	ENCFF700CVK	65	CTCF-human	foreskinfibroblastmalenewborn	ENCSR000DWQ
ENCFF065ROU	95	ENCFF229FMX	70	PPARG-human	HepG2geneticallymodifiedusingCRISPR	ENCSR130VQL
ENCFF913AGP	110	ENCFF229FMX	70	PPARG-human	HepG2geneticallymodifiedusingCRISPR	ENCSR130VQL
ENCFF168KFH	130	ENCFF610PNU	100	YY1-human	livermaleadult32years	ENCSR382MOM
ENCFF475YAS	225	ENCFF610PNU	100	YY1-human	livermaleadult32years	ENCSR382MOM
ENCFF530NRN	225	ENCFF028IGG	95	CTCF-human	upperlobeofleftlungmaleadult54years	ENCSR463XCZ
ENCFF416LMF	125	ENCFF165KZY	115	JUND-human	HepG2	ENCSR000EEI
ENCFF594GDM	115	ENCFF165KZY	115	JUND-human	HepG2	ENCSR000EEI
ENCFF881THF	130	ENCFF477ZKJ	90	EP300-human	GM12878	ENCSR000DZD
ENCFF036AJQ	130	ENCFF477ZKJ	90	EP300-human	GM12878	ENCSR000DZD
ENCFF050LIC	145	ENCFF482LDC	100	JUN-human	K562treatedwithInterferongammafor6hours	ENCSR000EZW
ENCFF814CHV	120	ENCFF482LDC	100	JUN-human	K562treatedwithInterferongammafor6hours	ENCSR000EZW
ENCFF103HWK	180	ENCFF714AMB	195	CBX2-human	A549	ENCSR469WAO
ENCFF806FPG	210	ENCFF714AMB	195	CBX2-human	A549	ENCSR469WAO
ENCFF391TOS	110	ENCFF156FED	110	NEUROD1-human	K562	ENCSR986CDX
ENCFF104FDK	100	ENCFF156FED	110	NEUROD1-human	K562	ENCSR986CDX
ENCFF884LEJ	115	ENCFF754WTG	80	RUNX3-human	GM12878	ENCSR000BRI
ENCFF579PRC	120	ENCFF754WTG	80	RUNX3-human	GM12878	ENCSR000BRI
ENCFF398SXO	105	ENCFF772PJM	120	ETS1-human	K562	ENCSR000BKQ
ENCFF401KIO	135	ENCFF772PJM	120	ETS1-human	K562	ENCSR000BKQ
ENCFF567AIN	110	ENCFF412FKY	75	CTCF-human	GM12874	ENCSR000DRR
ENCFF664MCF	110	ENCFF412FKY	75	CTCF-human	GM12874	ENCSR000DRR
ENCFF703HZB	95	ENCFF982GQU	70	CTCF-human	GM23338originatedfromGM23248	ENCSR932ZMX
ENCFF102OPY	95	ENCFF982GQU	70	CTCF-human	GM23338originatedfromGM23248	ENCSR932ZMX
ENCFF677BBS	95	ENCFF121DUE	75	MITF-human	K562	ENCSR000FCB
ENCFF983RUX	75	ENCFF121DUE	75	MITF-human	K562	ENCSR000FCB
ENCFF740NIN	120	ENCFF406KPS	110	ESR1-human	T47Dtreatedwith100nMgenisteinfor1hour	ENCSR000BJS
ENCFF446TBL	120	ENCFF406KPS	110	ESR1-human	T47Dtreatedwith100nMgenisteinfor1hour	ENCSR000BJS
ENCFF582CJF	95	ENCFF943DZB	85	USF1-human	HepG2	ENCSR000BGM
ENCFF270TGL	95	ENCFF943DZB	85	USF1-human	HepG2	ENCSR000BGM
ENCFF024CIJ	105	ENCFF085CHA	90	CTCF-human	AG10803	ENCSR000DPV
ENCFF672YBO	100	ENCFF085CHA	90	CTCF-human	AG10803	ENCSR000DPV
ENCFF004JMG	130	ENCFF949XNJ	130	NFE2L2-human	A549	ENCSR584GHV
ENCFF003TGD	100	ENCFF949XNJ	130	NFE2L2-human	A549	ENCSR584GHV
ENCFF852ZPS	90	ENCFF229FMX	70	ZNF792-human	HepG2geneticallymodifiedusingCRISPR	ENCSR396SOH
ENCFF783EIO	105	ENCFF229FMX	70	ZNF792-human	HepG2geneticallymodifiedusingCRISPR	ENCSR396SOH
ENCFF063AFU	120	ENCFF511RLN	130	NFE2L2-human	HepG2	ENCSR488EES
ENCFF421XBU	125	ENCFF511RLN	130	NFE2L2-human	HepG2	ENCSR488EES
